Country,Cost of Living Index
Bermuda,118.2
Cayman Islands,98.5
Singapore,89.8
Switzerland,85.6
Jersey,69.6
Bahamas,68.5
Hong Kong (China),67.0
Iceland,64.7
United States,61.0
Guernsey,60.5
Luxembourg,59.3
Australia,58.0
Ireland,57.2
Norway,56.4
Denmark,56.2
Barbados,53.8
Qatar,52.6
Canada,51.7
New Zealand,51.5
Netherlands,50.9
Israel,50.1
Macao (China),49.6
United Kingdom,48.1
Puerto Rico,47.5
France,47.4
Austria,47.2
Finland,46.8
Isle Of Man,46.8
United Arab Emirates,46.8
Germany,46.5
Belgium,45.2
South Korea,44.5
Cyprus,44.4
Malta,43.7
Sweden,42.0
Italy,41.3
Bahrain,40.5
Maldives,39.9
Uruguay,39.7
Estonia,37.0
Japan,36.9
Czech Republic,36.8
Kuwait,36.3
Cuba,36.2
Lebanon,36.1
Spain,36.1
Brunei,36.0
Slovenia,35.5
Trinidad And Tobago,35.3
Costa Rica,35.3
Jamaica,35.2
Panama,35.1
Taiwan,34.9
Senegal,34.7
Portugal,34.6
Lithuania,34.3
Armenia,34.2
Yemen,34.1
Greece,34.0
Oman,33.1
Poland,32.3
Latvia,32.0
Slovakia,32.0
Saudi Arabia,31.9
Chile,31.6
Belize,31.2
Hungary,31.2
Croatia,30.9
Guyana,30.5
Ivory Coast,30.5
Georgia,30.5
Ethiopia,30.3
Cameroon,30.2
Montenegro,29.7
Mexico,29.1
El Salvador,29.1
Dominican Republic,28.2
Serbia,27.9
Palestine,27.7
Jordan,27.6
Cambodia,27.5
Mauritius,26.8
Guatemala,26.7
China,26.6
Thailand,26.2
Myanmar,25.8
Albania,25.7
Bulgaria,25.7
Zimbabwe,25.6
Fiji,25.6
Kazakhstan,25.4
Venezuela,25.0
Romania,24.8
Honduras,24.6
Ghana,24.4
Brazil,23.9
South Africa,23.8
Belarus,23.4
Vietnam,23.2
Philippines,23.1
Moldova,23.1
Peru,22.6
Mongolia,22.4
Nicaragua,22.3
Ecuador,22.3
Bosnia And Herzegovina,22.0
Namibia,21.5
Iraq,21.3
Malaysia,21.3
Russia,21.3
Kyrgyzstan,21.0
Sri Lanka,20.8
Indonesia,20.5
Ukraine,20.5
Uganda,20.3
Iran,20.1
Botswana,20.0
Bolivia,20.0
Azerbaijan,20.0
Nigeria,20.0
Paraguay,19.9
North Macedonia,19.8
Morocco,19.4
Tanzania,19.4
Uzbekistan,19.4
Argentina,19.3
Kosovo (Disputed Territory),19.3
Kenya,18.5
Colombia,18.3
Turkey,18.2
Somalia,17.6
Algeria,16.9
Tunisia,16.7
Nepal,15.3
Syria,15.2
Bangladesh,15.1
Libya,14.9
India,14.6
Egypt,13.1
Pakistan,10.7
Afghanistan,12.0
Zambia,24.5
rwanda,19.1
madagascar,23.9
benin,20
andorra,38.5
côte d'ivoire,24.4
